field_number,field_name,enum,description
1128,ApplVerID,0,FIX27
1128,ApplVerID,1,FIX30
1128,ApplVerID,2,FIX40
1128,ApplVerID,3,FIX41
1128,ApplVerID,4,FIX42
1128,ApplVerID,5,FIX43
1128,ApplVerID,6,FIX44
1128,ApplVerID,7,FIX50
1128,ApplVerID,8,FIX50_SP1
1128,ApplVerID,9,FIX50_SP2
98,EncryptMethod,0,NONE_OTHER
98,EncryptMethod,1,PKCS
98,EncryptMethod,2,DES
98,EncryptMethod,3,PKCSDES
98,EncryptMethod,4,PGPDES
98,EncryptMethod,5,PGPDESMD5
98,EncryptMethod,6,PEMDESMD5
123,GapFillFlag,N,NO
123,GapFillFlag,Y,YES
43,PossDupFlag,N,NO
43,PossDupFlag,Y,YES
97,PossResend,N,NO
97,PossResend,Y,YES
141,ResetSeqNumFlag,N,NO
141,ResetSeqNumFlag,Y,YES
373,SessionRejectReason,0,INVALID_TAG_NUMBER
373,SessionRejectReason,1,REQUIRED_TAG_MISSING
373,SessionRejectReason,2,TAG_NOT_DEFINED_FOR_THIS_MESSAGE_TYPE
373,SessionRejectReason,3,UNDEFINED_TAG
373,SessionRejectReason,4,TAG_SPECIFIED_WITHOUT_A_VALUE
373,SessionRejectReason,5,VALUE_IS_INCORRECT
373,SessionRejectReason,6,INCORRECT_DATA_FORMAT_FOR_VALUE
373,SessionRejectReason,7,DECRYPTION_PROBLEM
373,SessionRejectReason,8,SIGNATURE_PROBLEM
373,SessionRejectReason,9,COMPID_PROBLEM
373,SessionRejectReason,10,SENDINGTIME_ACCURACY_PROBLEM
373,SessionRejectReason,11,INVALID_MSGTYPE
373,SessionRejectReason,12,XML_VALIDATION_ERROR
373,SessionRejectReason,13,TAG_APPEARS_MORE_THAN_ONCE
373,SessionRejectReason,14,TAG_SPECIFIED_OUT_OF_REQUIRED_ORDER
373,SessionRejectReason,15,REPEATING_GROUP_FIELDS_OUT_OF_ORDER
373,SessionRejectReason,16,INCORRECT_NUMINGROUP_COUNT_FOR_REPEATING_GROUP
373,SessionRejectReason,17,NON_DATA_VALUE_INCLUDES_FIELD_DELIMITER
373,SessionRejectReason,18,INVALID_UNSUPPORTED_APPLICATION_VERSION
373,SessionRejectReason,99,OTHER
1409,SessionStatus,0,SESSION_ACTIVE
1409,SessionStatus,1,SESSION_PASSWORD_CHANGED
1409,SessionStatus,2,SESSION_PASSWORD_DUE_TO_EXPIRE
1409,SessionStatus,3,NEW_SESSION_PASSWORD_DOES_NOT_COMPLY_WITH_POLICY
1409,SessionStatus,4,SESSION_LOGOUT_COMPLETE
1409,SessionStatus,5,INVALID_USERNAME_OR_PASSWORD
1409,SessionStatus,6,ACCOUNT_LOCKED
1409,SessionStatus,7,LOGONS_ARE_NOT_ALLOWED_AT_THIS_TIME
1409,SessionStatus,8,PASSWORD_EXPIRED
464,TestMessageIndicator,N,NO
464,TestMessageIndicator,Y,YES
